记录ID,订单号,订单类型(系统值),订单类型(说明),产品编码,产品名称,数量,交期,最早开工,优先级,状态,确认开始(生产订单),确认结束(生产订单),位置,描述,创建时间,更新时间
53,PLN2026030403,planned,计划订单,MAT006,连接器,20.0,2026-03-04 23:59:00.000000,2026-03-04 08:00:00.000000,1,scheduled,,,1001,,2026-02-09 07:47:26.319889,2026-03-23 08:07:53.397305
54,PLN2026030504,planned,计划订单,MAT006,连接器,20.0,2026-03-05 23:59:00.000000,2026-03-05 08:00:00.000000,5,scheduled,,,1001,,2026-02-09 07:47:26.321493,2026-03-23 08:07:53.397306
55,PLN2026030605,planned,计划订单,MAT006,连接器,20.0,2026-03-06 23:59:00.000000,2026-03-06 08:00:00.000000,2,scheduled,,,1001,,2026-02-09 07:47:26.322989,2026-03-23 08:07:53.397308
65,PLN202630613,planned,计划订单,MAT008,机箱,79.0,2026-03-09 23:59:00.000000,,7,scheduled,,,1001,机箱 计划订单,2026-03-03 07:07:54.742525,2026-03-23 08:07:53.397325
76,PLN202630624,planned,计划订单,MAT010,显示面板,57.0,2026-03-09 23:59:00.000000,,9,scheduled,,,1001,显示面板 计划订单,2026-03-03 07:07:55.053804,2026-03-23 08:07:53.397343
58,PLN202630606,planned,计划订单,MAT003,传感器模块,70.0,2026-03-10 23:59:00.000000,,5,scheduled,,,1001,传感器模块 计划订单,2026-03-03 07:07:54.535265,2026-03-23 08:07:53.397313
59,PLN202630607,planned,计划订单,MAT008,机箱,93.0,2026-03-10 23:59:00.000000,,7,scheduled,,,1001,机箱 计划订单,2026-03-03 07:07:54.579297,2026-03-23 08:07:53.397315
60,PLN202630608,planned,计划订单,MAT005,轴承座,32.0,2026-03-10 23:59:00.000000,,2,scheduled,,,1001,轴承座 计划订单,2026-03-03 07:07:54.605223,2026-03-23 08:07:53.397317
68,PLN202630616,planned,计划订单,MAT010,显示面板,25.0,2026-03-10 23:59:00.000000,,8,scheduled,,,1001,显示面板 计划订单,2026-03-03 07:07:54.846429,2026-03-23 08:07:53.397330
69,PLN202630617,planned,计划订单,MAT004,控制板,83.0,2026-03-10 23:59:00.000000,,10,scheduled,,,1001,控制板 计划订单,2026-03-03 07:07:54.875796,2026-03-23 08:07:53.397332
70,PLN202630618,planned,计划订单,MAT010,显示面板,95.0,2026-03-10 23:59:00.000000,,2,scheduled,,,1001,显示面板 计划订单,2026-03-03 07:07:54.901861,2026-03-23 08:07:53.397333
71,PLN202630619,planned,计划订单,MAT004,控制板,97.0,2026-03-10 23:59:00.000000,,2,scheduled,,,1001,控制板 计划订单,2026-03-03 07:07:54.931172,2026-03-23 08:07:53.397335
75,PLN202630623,planned,计划订单,MAT002,电机外壳,47.0,2026-03-10 23:59:00.000000,,2,scheduled,,,1001,电机外壳 计划订单,2026-03-03 07:07:55.030864,2026-03-23 08:07:53.397342
62,PLN202630610,planned,计划订单,MAT002,电机外壳,4.0,2026-03-11 23:59:00.000000,,8,scheduled,,,1001,电机外壳 计划订单,2026-03-03 07:07:54.658353,2026-03-23 08:07:53.397320
73,PLN202630621,planned,计划订单,MAT004,控制板,73.0,2026-03-11 23:59:00.000000,,1,scheduled,,,1001,控制板 计划订单,2026-03-03 07:07:54.982602,2026-03-23 08:07:53.397338
61,PLN202630609,planned,计划订单,MAT010,显示面板,24.0,2026-03-12 23:59:00.000000,,1,scheduled,,,1001,显示面板 计划订单,2026-03-03 07:07:54.633433,2026-03-23 08:07:53.397318
63,PLN202630611,planned,计划订单,MAT007,散热器,57.0,2026-03-12 23:59:00.000000,,7,scheduled,,,1001,散热器 计划订单,2026-03-03 07:07:54.686427,2026-03-23 08:07:53.397322
72,PLN202630620,planned,计划订单,MAT003,传感器模块,29.0,2026-03-12 23:59:00.000000,,9,scheduled,,,1001,传感器模块 计划订单,2026-03-03 07:07:54.959552,2026-03-23 08:07:53.397337
74,PLN202630622,planned,计划订单,MAT008,机箱,18.0,2026-03-12 23:59:00.000000,,3,scheduled,,,1001,机箱 计划订单,2026-03-03 07:07:55.005683,2026-03-23 08:07:53.397340
64,PLN202630612,planned,计划订单,MAT008,机箱,65.0,2026-03-13 23:59:00.000000,,8,scheduled,,,1001,机箱 计划订单,2026-03-03 07:07:54.713904,2026-03-23 08:07:53.397323
66,PLN202630614,planned,计划订单,MAT010,显示面板,60.0,2026-03-13 23:59:00.000000,,4,scheduled,,,1001,显示面板 计划订单,2026-03-03 07:07:54.774773,2026-03-23 08:07:53.397327
67,PLN202630615,planned,计划订单,MAT008,机箱,36.0,2026-03-13 23:59:00.000000,,10,scheduled,,,1001,机箱 计划订单,2026-03-03 07:07:54.799844,2026-03-23 08:07:53.397328
77,PLN202630625,planned,计划订单,MAT007,散热器,2.0,2026-03-13 23:59:00.000000,,1,scheduled,,,1001,散热器 计划订单,2026-03-03 07:07:55.075809,2026-03-23 08:07:53.397345
78,PLN47932388,planned,计划订单,MAT004,控制板,100.0,2026-03-17 09:00:00.000000,,2,scheduled,,,1001,,2026-03-16 07:59:13.578559,2026-03-23 08:07:53.397347
80,PLN2026032302,planned,计划订单,MAT003,传感器模块,1.0,2026-03-23 15:59:59.000000,,1,scheduled,,,1001,传感器模块 计划订单,2026-03-17 02:11:13.234276,2026-03-23 08:07:53.397348
81,PLN2026032303,planned,计划订单,MAT004,控制板,3.0,2026-03-23 15:59:59.000000,,1,scheduled,,,1001,控制板 计划订单,2026-03-17 02:11:13.238760,2026-03-23 08:07:53.397350
84,PLN2026032406,planned,计划订单,MAT004,控制板,5.0,2026-03-24 15:59:59.000000,,1,scheduled,,,1001,控制板 计划订单,2026-03-17 02:11:13.242410,2026-03-23 08:07:53.397352
85,PLN2026032407,planned,计划订单,MAT010,显示面板,3.0,2026-03-24 15:59:59.000000,,6,scheduled,,,1001,显示面板 计划订单,2026-03-17 02:11:13.243559,2026-03-23 08:07:53.397353
87,PLN2026032509,planned,计划订单,MAT001,精密齿轮,2.0,2026-03-25 15:59:59.000000,,2,scheduled,,,1001,精密齿轮 计划订单,2026-03-17 02:11:13.245805,2026-03-23 08:07:53.397355
88,PLN2026032510,planned,计划订单,MAT005,轴承座,4.0,2026-03-25 15:59:59.000000,,2,scheduled,,,1001,轴承座 计划订单,2026-03-17 02:11:13.247503,2026-03-23 08:07:53.397357
89,PLN2026032511,planned,计划订单,MAT003,传感器模块,2.0,2026-03-25 15:59:59.000000,,2,scheduled,,,1001,传感器模块 计划订单,2026-03-17 02:11:13.250146,2026-03-23 08:07:53.397358
91,PLN2026032613,planned,计划订单,MAT006,连接器,3.0,2026-03-26 15:59:59.000000,,1,scheduled,,,1001,连接器 计划订单,2026-03-17 02:11:13.255132,2026-03-23 08:07:53.397360
93,PLN2026032615,planned,计划订单,MAT005,轴承座,5.0,2026-03-26 15:59:59.000000,,4,scheduled,,,1001,轴承座 计划订单,2026-03-17 02:11:13.259212,2026-03-23 08:07:53.397361
94,PLN2026032616,planned,计划订单,MAT001,精密齿轮,3.0,2026-03-26 15:59:59.000000,,3,scheduled,,,1001,精密齿轮 计划订单,2026-03-17 02:11:13.261052,2026-03-23 08:07:53.397363
98,PLN2026032720,planned,计划订单,MAT006,连接器,2.0,2026-03-27 08:00:00.000000,,1,scheduled,,,1001,连接器 计划订单,2026-03-17 02:11:13.269749,2026-03-23 08:07:53.397368
96,PLN2026032718,planned,计划订单,MAT009,电源模块,3.0,2026-03-27 15:59:59.000000,,2,scheduled,,,1001,电源模块 计划订单,2026-03-17 02:11:13.264846,2026-03-23 08:07:53.397365
97,PLN2026032719,planned,计划订单,MAT004,控制板,5.0,2026-03-27 15:59:59.000000,,5,scheduled,,,1001,控制板 计划订单,2026-03-17 02:11:13.267345,2026-03-23 08:07:53.397366
1,PRD20260010,production,生产订单,MAT008,机箱,230.0,2026-01-30 23:59:00.000000,,4,scheduled,2026-01-28 16:00:00.000000,2026-01-30 18:00:00.000000,1001,机箱生产订单(已下达),2026-01-27 12:15:48.181228,2026-03-23 08:07:53.397084
2,PRD20260013,production,生产订单,MAT010,显示面板,230.0,2026-01-30 23:59:00.000000,,2,scheduled,2026-01-28 16:00:00.000000,2026-01-31 00:00:00.000000,1001,显示面板生产订单(已下达),2026-01-27 12:15:48.230835,2026-03-23 08:07:53.397093
3,PRD20260001,production,生产订单,MAT005,轴承座,180.0,2026-01-31 23:59:00.000000,,2,scheduled,2026-01-30 10:00:00.000000,2026-01-31 13:00:00.000000,1001,轴承座生产订单(已下达),2026-01-27 12:15:48.273158,2026-03-23 08:07:53.397095
4,PRD20260003,production,生产订单,MAT001,精密齿轮,180.0,2026-01-31 23:59:00.000000,,1,scheduled,2026-01-30 10:00:00.000000,2026-01-31 17:00:00.000000,1001,精密齿轮生产订单(已下达),2026-01-27 12:15:48.319239,2026-03-23 08:07:53.397098
9,PRD20260005,production,生产订单,MAT010,显示面板,70.0,2026-02-01 23:59:00.000000,,1,scheduled,2026-01-28 15:00:00.000000,2026-01-30 16:00:00.000000,1001,显示面板生产订单(已下达),2026-01-27 12:15:48.504564,2026-03-23 08:07:53.397163
10,PRD20260002,production,生产订单,MAT008,机箱,70.0,2026-02-03 23:59:00.000000,,1,scheduled,2026-02-02 14:00:00.000000,2026-02-03 16:00:00.000000,1001,机箱生产订单(已下达),2026-01-27 12:15:48.549436,2026-03-23 08:07:53.397166
12,PRD20260004,production,生产订单,MAT006,连接器,150.0,2026-02-04 23:59:00.000000,,2,scheduled,2026-02-01 14:00:00.000000,2026-02-03 20:00:00.000000,1001,连接器生产订单(已下达),2026-01-27 12:15:48.625180,2026-03-23 08:07:53.397172
13,PRD20260012,production,生产订单,MAT008,机箱,250.0,2026-02-04 23:59:00.000000,,1,scheduled,2026-01-31 14:00:00.000000,2026-02-03 18:00:00.000000,1001,机箱生产订单(已下达),2026-01-27 12:15:48.669581,2026-03-23 08:07:53.397174
18,PRD20260011,production,生产订单,MAT007,散热器,90.0,2026-02-07 23:59:00.000000,,2,scheduled,2026-02-01 12:00:00.000000,2026-02-03 16:00:00.000000,1001,散热器生产订单(已下达),2026-01-27 12:15:48.848201,2026-03-23 08:07:53.397183
19,PRD20260015,production,生产订单,MAT002,电机外壳,190.0,2026-02-07 23:59:00.000000,,4,scheduled,2026-02-02 10:00:00.000000,2026-02-04 14:00:00.000000,1001,电机外壳生产订单(已下达),2026-01-27 12:15:48.887664,2026-03-23 08:07:53.397185
20,PRD20260007,production,生产订单,MAT006,连接器,190.0,2026-02-08 23:59:00.000000,,5,scheduled,2026-02-02 08:00:00.000000,2026-02-04 12:00:00.000000,1001,连接器生产订单(已下达),2026-01-27 12:15:48.937177,2026-03-23 08:07:53.397231
21,PRD20260008,production,生产订单,MAT003,传感器模块,270.0,2026-02-08 23:59:00.000000,,3,scheduled,2026-01-28 16:00:00.000000,2026-01-30 19:00:00.000000,1001,传感器模块生产订单(已下达),2026-01-27 12:15:48.979241,2026-03-23 08:07:53.397242
22,PRD20260009,production,生产订单,MAT004,控制板,190.0,2026-02-08 23:59:00.000000,,5,scheduled,2026-01-31 09:00:00.000000,2026-02-02 15:00:00.000000,1001,控制板生产订单(已下达),2026-01-27 12:15:49.021964,2026-03-23 08:07:53.397245
26,PRD20260006,production,生产订单,MAT005,轴承座,220.0,2026-02-10 23:59:00.000000,,2,scheduled,2026-01-29 08:00:00.000000,2026-01-31 13:00:00.000000,1001,轴承座生产订单(已下达),2026-01-27 12:15:49.200303,2026-03-23 08:07:53.397256
29,PRD20260014,production,生产订单,MAT002,电机外壳,260.0,2026-02-11 23:59:00.000000,,5,scheduled,2026-02-02 14:00:00.000000,2026-02-07 18:00:00.000000,1001,电机外壳生产订单(已下达),2026-01-27 12:15:49.334906,2026-03-23 08:07:53.397261
